ht2_NY_1992,ht4_WA_1992,id
85,80,1
82.5,62.5,2
85,59.5,3
95,62.5,4
75,54.5,5
107.5,76.5,6
102.5,82.5,7
95,87.5,8
92.5,76.5,9
92.5,66,10
85,70,11
82.5,72.5,12
60,46,13
85,65,14
90,74,15
75,66,16
87.5,81.5,17
87.5,67.5,18
90,75,19
87.5,62.5,20
77.5,62.5,21
80,64.5,22
90,70,23
105,85,24
100,84,25
87.5,63.5,26
85,66,27
77.5,53,28
87.5,77.5,29
75,63.5,30
85,73.5,31
92.5,75,32
87.5,82.5,33
97.5,79,34
70,48,35
87.5,67.5,36
85,72.5,37
87.5,62,38
80,65,39
85,74,40
100,72.5,41
92.5,78.5,42
87.5,76,43
97.5,72.5,44
87.5,81,45
92.5,57.5,46
85,67.5,47
77.5,62.5,48
82.5,81.5,49
87.5,66.5,50
77.5,57,51
75,67.5,52
80,65,53
80,53,54
77.5,67.5,55
90,72.5,56
87.5,71,57
102.5,79,58
77.5,63.5,59
85,67.5,60
95,76,61
75,87.5,62
70,65,63
77.5,69,64
77.5,59.5,65
95,62,66
70,77.5,67
102.5,53.5,68
87.5,85,69
90,67.5,70
85,72.5,71
87.5,70,72
80,71.5,73
75,59.5,74
100,57,75
87.5,83.5,76
100,78.5,77
90,81.5,78
80,72.5,79
85,56,80
87.5,71.5,81
85,72.5,82
107.5,77.5,83
90,98,84
80,65,85
85,67.5,86
92.5,82.5,87
80,82.5,88
90,71,89
100,72.5,90
90,93.5,91
92.5,58.5,92
90,84,93
85,80,94
100,63.5,95
77.5,90,96
90,71,97
87.5,70,98
92.5,72.5,99
72.5,78.5,100
87.5,69,101
95,76,102
80,72.5,103
77.5,72.5,104
80,78.5,105
90,58.5,106
97.5,81,107
95,75,108
75,80,109
82.5,67.5,110
77.5,82.5,111
97.5,53,112
77.5,81.5,113
90,59.5,114
85,79,115
80,73.5,116
80,68.5,117
90,65,118
82.5,76.5,119
90,80,120
95,80,121
75,83.5,122
90,61,123
80,76,124
80,98,125
90,87.5,126
95,81,127
90,80,128
72.5,82.5,129
85,80,130
80,69,131
85,77.5,132
67.5,62,133
87.5,59.5,134
72.5,57,135
77.5,85,136
80,61,137
82.5,71.5,138
75,54.5,139
75,67.5,140
87.5,71.5,141
85,67.5,142
87.5,71,143
97.5,85,144
87.5,61,145
97.5,90,146
